Reference, Value, Footprint, Datasheet
U2,6B595,Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,
U1,6B595,Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,
P3,INKJET,Pin_Headers:Pin_Header_Straight_2x07,
C1,0.1uF,Capacitors_SMD:C_0603,
P1,EXPANSION_HEADER,Pin_Headers:Pin_Header_Straight_2x25,
C3,0.1uF,Capacitors_SMD:C_0603,
U3,LT1072,SMD_Packages:SOIC-8-N,
L1,220uH,InkJetPart:CLF6045_Inductor,
D1,SS3P4,InkJetPart:DO-220_Diode,
R2,18.7k 0.1%,Resistors_SMD:R_0603,
R3,1.27k 0.1%,Resistors_SMD:R_0603,
R1,1k,Resistors_SMD:R_0603,
C2,1uF,Capacitors_SMD:C_0805,
C4,100uF,Capacitors_SMD:c_elec_6.3x7.7,
P2,PWR,InkJetPart:Pin_Header_Straight_2x04_Silk_Change,
C5,100uF,Capacitors_SMD:c_elec_6.3x7.7,
JP1,PWR_SELECT,Socket_Strips:Socket_Strip_Straight_1x03,
